X,Y,OBJECTID_1,OBJECTID,SAP_ID,Station,Station_Ty,County,Region,Division,Country,Lifesaving,Lifesavi_1,Lat_Dec_De,Long_Dec_D,URL
-1.375200231999941,60.286308828000074,1,1,2354,Aith,ALB,Shetland Islands,Scotland & North,Central & Shetland,Scotland,Scotland,1,60.286308828,-1.375200232,https://rnli.org/find-my-nearest/lifeboat-stations/aith-lifeboat-station
-2.960315255999944,58.985404662000064,2,2,2390,Kirkwall,ALB,Orkney Islands,Scotland & North,Highlands,Scotland,Scotland,1,58.985404662,-2.960315256,https://rnli.org/find-my-nearest/lifeboat-stations/kirkwall-lifeboat-station
-1.140219956999942,60.153286647000073,3,3,2372,Lerwick,ALB,Shetland Islands,Scotland & North,Central & Shetland,Scotland,Scotland,1,60.153286647,-1.140219957,https://rnli.org/find-my-nearest/lifeboat-stations/lerwick-lifeboat-station
-3.206880878999925,58.800575701000071,4,4,2318,Longhope,ALB,Orkney Islands,Scotland & North,Highlands,Scotland,Scotland,1,58.800575701,-3.206880879,https://rnli.org/find-my-nearest/lifeboat-stations/longhope-lifeboat-station
-3.297689914999978,58.963336945000037,5,5,2336,Stromness,ALB,Orkney Islands,Scotland & North,Highlands,Scotland,Scotland,1,58.9633369446,-3.2976899147,https://rnli.org/find-my-nearest/lifeboat-stations/stromness-lifeboat-station
-2.952715635999937,57.680841383000029,6,6,2423,Buckie,ALB,Moray,Scotland & North,Highlands,Scotland,Scotland,2,57.680841383,-2.952715636,https://rnli.org/find-my-nearest/lifeboat-stations/buckie-lifeboat-station
-4.167407225999966,57.686543953000069,7,7,2415,Invergordon,ALB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,57.686543953,-4.167407226,https://rnli.org/find-my-nearest/lifeboat-stations/invergordon-lifeboat-station
-4.234653789999925,57.500991070000055,8,8,2419,Kessock,ILB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,57.50099107,-4.23465379,https://rnli.org/find-my-nearest/lifeboat-stations/kessock-lifeboat-station
-4.444432279999944,57.336744920000058,9,9,2421,Loch Ness,ILB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,57.33674492,-4.44443228,https://rnli.org/find-my-nearest/lifeboat-stations/loch-ness-lifeboat-station
-2.49427239299996,57.672697405000065,10,10,2434,Macduff,ILB,Aberdeenshire,Scotland & North,Highlands,Scotland,Scotland,2,57.672697405,-2.494272393,https://rnli.org/find-my-nearest/lifeboat-stations/macduff-lifeboat-station
-3.546979762999968,58.612120666000067,11,11,2281,Thurso,ALB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,58.612120666,-3.546979763,https://rnli.org/find-my-nearest/lifeboat-stations/thurso-lifeboat-station
-3.082953398999962,58.439336508000054,12,12,2401,Wick,ALB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,58.439336508,-3.082953399,https://rnli.org/find-my-nearest/lifeboat-stations/wick-lifeboat-station
-2.080430700999955,57.144039124000074,13,13,2489,Aberdeen,ALB/ILB,Aberdeenshire,Scotland & North,Central & Shetland,Scotland,Scotland,3,57.144039124,-2.080430701,https://rnli.org/find-my-nearest/lifeboat-stations/aberdeen-lifeboat-station
-2.584826646999943,56.55526661600004,14,14,2546,Arbroath,ALB/ILB,Angus,Scotland & North,Central & Shetland,Scotland,Scotland,3,56.555266616,-2.584826647,https://rnli.org/find-my-nearest/lifeboat-stations/arbroath-lifeboat-station
-2.8774,56.465,15,15,2568,Broughty Ferry,ALB/ILB,City Of Dundee,Scotland & North,Central & Shetland,Scotland,Scotland,3,56.465,-2.8774,https://rnli.org/find-my-nearest/lifeboat-stations/broughty-ferry-lifeboat-station
-2.002823983999974,57.693571060000068,16,16,2445,Fraserburgh,ALB,Aberdeenshire,Scotland & North,Highlands,Scotland,Scotland,3,57.69357106,-2.002823984,https://rnli.org/find-my-nearest/lifeboat-stations/fraserburgh-lifeboat-station
-2.463907850999931,56.703663388000052,17,17,2524,Montrose,ALB/ILB,Angus,Scotland & North,Central & Shetland,Scotland,Scotland,3,56.703663388,-2.463907851,https://rnli.org/find-my-nearest/lifeboat-stations/montrose-lifeboat-station
-1.774634314999957,57.503041869000072,18,18,2467,Peterhead,ALB,Aberdeenshire,Scotland & North,Highlands,Scotland,Scotland,3,57.503041869,-1.774634315,https://rnli.org/find-my-nearest/lifeboat-stations/peterhead-lifeboat-station
-2.201313223999932,56.960638257000028,19,19,2502,Stonehaven,ILB,Aberdeenshire,Scotland & North,Central & Shetland,Scotland,Scotland,3,56.960638257,-2.201313224,https://rnli.org/find-my-nearest/lifeboat-stations/stonehaven-lifeboat-station
-2.697317617999943,56.221519597000054,20,20,2580,Anstruther,ALB/ILB,Fife,Scotland & North,Central & Shetland,Scotland,Scotland,4,56.221519597,-2.697317618,https://rnli.org/find-my-nearest/lifeboat-stations/anstruther-lifeboat-station
-2.51490935299995,56.00504316200005,21,21,2677,Dunbar,ALB/ILB,East Lothian,Scotland & North,Central & Shetland,Scotland,Scotland,4,56.005043162,-2.514909353,https://rnli.org/find-my-nearest/lifeboat-stations/dunbar-lifeboat-station
-2.086114882999937,55.872177124000075,22,22,2702,Eyemouth,ALB,Scottish Borders,Scotland & North,Central & Shetland,Scotland,Scotland,4,55.872177124,-2.08611488342,https://rnli.org/find-my-nearest/lifeboat-stations/eyemouth-lifeboat-station
-3.173953912999934,56.068548113000077,23,23,2611,Kinghorn,ILB,Fife,Scotland & North,Central & Shetland,Scotland,Scotland,4,56.068548113,-3.173953913,https://rnli.org/find-my-nearest/lifeboat-stations/kinghorn-lifeboat-station
-2.717633532999969,56.060237294000046,24,24,2655,North Berwick,ILB,East Lothian,Scotland & North,Central & Shetland,Scotland,Scotland,4,56.060237294,-2.717633533,https://rnli.org/find-my-nearest/lifeboat-stations/north-berwick-lifeboat-station
-3.3852,55.9906,25,25,2633,Queensferry,ILB,City Of Edinburgh,Scotland & North,Central & Shetland,Scotland,Scotland,4,55.9906,-3.3852,https://rnli.org/find-my-nearest/lifeboat-stations/queensferry-lifeboat-station
-1.5816,55.3364,26,26,3083,Amble,ALB/ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,55.3364,-1.5816,https://rnli.org/find-my-nearest/lifeboat-stations/amble-lifeboat-station
-2.000278441999967,55.760970935000046,27,27,3029,Berwick-Upon-Tweed,ALB/ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,55.760970935,-2.000278442,https://rnli.org/find-my-nearest/lifeboat-stations/berwick-upon-tweed-lifeboat-station
-1.498049020999929,55.125591278000059,28,28,3120,Blyth,ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,55.1255912781,-1.49804902077,https://rnli.org/find-my-nearest/lifeboat-stations/blyth-lifeboat-station
-1.594139505999976,55.472629986000072,29,29,3065,Craster,ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,55.472629986,-1.594139506,https://rnli.org/find-my-nearest/lifeboat-stations/craster-lifeboat-station
-1.432090663999929,55.03551996300007,30,30,3148,Cullercoats,ILB,Tyne & Wear,Scotland & North,North & Scot South,England,North and East,5,55.035519963,-1.432090664,https://rnli.org/find-my-nearest/lifeboat-stations/cullercoats-lifeboat-station
-1.5066,55.1859,31,31,3101,Newbiggin,ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,55.1859,-1.5066,https://rnli.org/find-my-nearest/lifeboat-stations/newbiggin-lifeboat-station
-1.6539,55.5829,32,32,3047,Seahouses,ALB/ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,55.5829,-1.6539,https://rnli.org/find-my-nearest/lifeboat-stations/seahouses-lifeboat-station
-1.432921673999942,55.009111693000079,33,33,3156,Tynemouth,ALB/ILB,Tyne & Wear,Scotland & North,North & Scot South,England,North and East,5,55.009111693,-1.432921674,https://rnli.org/find-my-nearest/lifeboat-stations/tynemouth-lifeboat-station
-1.190959766999924,54.694837765000045,34,34,3210,Hartlepool,ALB/ILB,County Durham,Scotland & North,North & Scot South,England,North and East,6,54.694837765,-1.190959767,https://rnli.org/find-my-nearest/lifeboat-stations/hartlepool-lifeboat-station
-1.063666608999938,54.618586876000052,35,35,3231,Redcar,ILB,North Yorkshire,Scotland & North,North & Scot South,England,North and East,6,54.618586876,-1.063666609,https://rnli.org/find-my-nearest/lifeboat-stations/redcar-lifeboat-station
-0.791727453999954,54.559757172000047,36,36,3249,Staithes And Runswick,ILB,North Yorkshire,Scotland & North,North & Scot South,England,North and East,6,54.559757172,-0.791727454,https://rnli.org/find-my-nearest/lifeboat-stations/staithes-and-runswick-lifeboat-station
-1.367461034999963,54.919939900000031,37,37,3167,Sunderland,ILB,Tyne & Wear,Scotland & North,North & Scot South,England,North and East,6,54.9199399,-1.367461035,https://rnli.org/find-my-nearest/lifeboat-stations/sunderland-lifeboat-station
-0.613084887999946,54.488180451000062,38,38,3276,Whitby,ALB/ILB,North Yorkshire,Scotland & North,North & Scot South,England,North and East,6,54.488180451,-0.613084888,https://rnli.org/find-my-nearest/lifeboat-stations/whitby-lifeboat-station
-0.199732765999954,54.076464225000052,39,39,3355,Bridlington,ALB/ILB,East Riding Of Yorkshire,East,East,England,North and East,7,54.076464225,-0.199732766,https://rnli.org/find-my-nearest/lifeboat-stations/bridlington-lifeboat-station
-0.283378295999967,54.211306433000061,40,40,3319,Filey,ALB/ILB,North Yorkshire,Scotland & North,North & Scot South,England,North and East,7,54.211306433,-0.283378296,https://rnli.org/find-my-nearest/lifeboat-stations/filey-lifeboat-station
-0.118986898999935,54.104723601000046,41,41,3337,Flamborough,ILB,East Riding Of Yorkshire,East,East,England,North and East,7,54.104723601,-0.118986899,https://rnli.org/find-my-nearest/lifeboat-stations/flamborough-lifeboat-station
0.1107,53.5764,42,42,3373,Humber,ALB,East Riding Of Yorkshire,East,East,England,North and East,7,53.5764,0.1107,https://rnli.org/find-my-nearest/lifeboat-stations/humber-lifeboat-station
-0.393126723999956,54.283454610000035,43,43,3298,Scarborough,ALB/ILB,North Yorkshire,Scotland & North,North & Scot South,England,North and East,7,54.28345461,-0.393126724,https://rnli.org/find-my-nearest/lifeboat-stations/scarborough-lifeboat-station
0.040723640000067,53.726104306000082,44,44,3361,Withernsea,ILB,East Riding Of Yorkshire,East,East,England,North and East,7,53.726104306,0.04072364,https://rnli.org/find-my-nearest/lifeboat-stations/withernsea-lifeboat-station
-0.023211422999964,53.55687998500008,45,45,3384,Cleethorpes,ILB,Lincolnshire,East,East,England,North and East,8,53.556879985,-0.023211423,https://rnli.org/find-my-nearest/lifeboat-stations/cleethorpes-lifeboat-station
0.5026,52.9541,46,46,3435,Hunstanton,ILB/IRH,Norfolk,East,East,England,North and East,8,52.9541,0.5026,https://rnli.org/find-my-nearest/lifeboat-stations/hunstanton-lifeboat-station
0.266,53.3408,47,47,3402,Mablethorpe,ILB,Lincolnshire,East,East,England,North and East,8,53.3408,0.266,https://rnli.org/find-my-nearest/lifeboat-stations/mablethorpe-lifeboat-station
1.202743987000076,52.945925794000061,48,48,3468,Sheringham,ILB,Norfolk,East,East,England,North and East,8,52.945925794,1.202743987,https://rnli.org/find-my-nearest/lifeboat-stations/sheringham-lifeboat-station
0.346730248000028,53.141764937000062,49,49,3424,Skegness,ALB/ILB,Lincolnshire,East,East,England,North and East,8,53.141764937,0.346730248,https://rnli.org/find-my-nearest/lifeboat-stations/skegness-lifeboat-station
0.851731633000043,52.97299526200004,50,50,3446,Wells,ALB/ILB,Norfolk,East,East,England,North and East,8,52.972995262,0.851731633,https://rnli.org/find-my-nearest/lifeboat-stations/wells-lifeboat-station
1.301703614000076,52.934366261000037,51,51,3507,Cromer,ALB/ILB,Norfolk,East,East,England,North and East,9,52.934366261,1.301703614,https://rnli.org/find-my-nearest/lifeboat-stations/cromer-lifeboat-station
1.731969864000064,52.575247902000058,52,52,3553,Gt Yarmouth & Gorleston,ALB/ILB,Norfolk,East,East,England,North and East,9,52.575247902,1.731969864,https://rnli.org/find-my-nearest/lifeboat-stations/great-yarmouth-and-gorleston-lifeboat-station
1.556197324000038,52.813298173000078,53,53,3531,Happisburgh,ILB,Norfolk,East,East,England,North and East,9,52.813298173,1.556197324,https://rnli.org/find-my-nearest/lifeboat-stations/happisburgh-lifeboat-station
1.752812469000048,52.471691700000065,54,54,3575,Lowestoft,ALB,Suffolk,East,East,England,North and East,9,52.4716917,1.752812469,https://rnli.org/find-my-nearest/lifeboat-stations/lowestoft-lifeboat-station
1.672481755000035,52.314983004000055,55,55,3597,Southwold,ILB,Suffolk,East,East,England,North and East,9,52.314983004,1.672481755,https://rnli.org/find-my-nearest/lifeboat-stations/southwold-lifeboat-station
1.602616185000045,52.152270576000035,56,56,3624,Aldeburgh,ALB/ILB,Suffolk,East,East,England,North and East,10,52.152270576,1.602616185,https://rnli.org/find-my-nearest/lifeboat-stations/aldeburgh-lifeboat-station
0.802529991000029,51.629184723000037,57,57,4500,Burnham-On-Crouch,ILB,Essex,East,South East,England,North and East,10,51.6291847229,0.802529990673,https://rnli.org/find-my-nearest/lifeboat-stations/burnham-on-crouch-lifeboat-station
1.1413,51.7815,58,58,3708,Clacton-On-Sea,ILB,Essex,East,East,England,North and East,10,51.7815,1.1413,https://rnli.org/find-my-nearest/lifeboat-stations/clacton-on-sea-lifeboat-station
1.287184357000058,51.948657265000065,59,59,3646,Harwich,ALB/ILB,Essex,East,East,England,North and East,10,51.948657265,1.287184357,https://rnli.org/find-my-nearest/lifeboat-stations/harwich-lifeboat-station
1.271191650000048,51.847245188000045,60,60,3668,Walton & Frinton,ALB,Essex,East,East,England,North and East,10,51.847245188,1.27119165,https://rnli.org/find-my-nearest/lifeboat-stations/walton-and-frinton-lifeboat-station
0.898663509000073,51.780336524000063,61,61,3710,West Mersea,ILB,Essex,East,East,England,North and East,10,51.780336524,0.898663509,https://rnli.org/find-my-nearest/lifeboat-stations/west-mersea-lifeboat-station
-0.251584269999967,51.482196206000026,62,62,4536,Chiswick,ILB,Greater London,East,South East,England,South East,11,51.482196206,-0.25158427,https://rnli.org/find-my-nearest/lifeboat-stations/chiswick-lifeboat-station
0.374681366000061,51.445264788000031,63,63,4530,Gravesend,ILB,Kent,East,South East,England,South East,11,51.445264788,0.374681366,https://rnli.org/find-my-nearest/lifeboat-stations/gravesend-lifeboat-station
0.744001985000068,51.446178436000082,64,64,4544,Sheerness,ALB/ILB,Kent,East,South East,England,South East,11,51.4461784363,0.744001984596,https://rnli.org/find-my-nearest/lifeboat-stations/sheerness-lifeboat-station
0.716346025000064,51.532424927000079,65,65,4522,Southend-On-Sea,ILB/IRH,Essex,East,South East,England,South East,11,51.5324249268,0.716346025467,https://rnli.org/find-my-nearest/lifeboat-stations/southend-on-sea-lifeboat-station
-0.32606335,51.430628716000058,66,66,4539,Teddington,ILB,Greater London,East,South East,England,South East,11,51.430628716,-0.32606335,https://rnli.org/find-my-nearest/lifeboat-stations/teddington-lifeboat-station
-0.117225497999925,51.509919995000075,67,67,4533,Tower,ILB,Greater London,East,South East,England,South East,11,51.509919995,-0.117225498,https://rnli.org/find-my-nearest/lifeboat-stations/tower-lifeboat-station
1.382693269000072,51.391616488000068,68,68,4588,Margate,ALB/ILB,Kent,East,South East,England,South East,12,51.391616488,1.382693269,https://rnli.org/find-my-nearest/lifeboat-stations/margate-lifeboat-station
1.419671397000059,51.328903295000032,69,69,4608,Ramsgate,ALB/ILB,Kent,East,South East,England,South East,12,51.328903295,1.419671397,https://rnli.org/find-my-nearest/lifeboat-stations/ramsgate-lifeboat-station
1.402989773000058,51.213531556000078,70,70,4626,Walmer,ILB,Kent,East,South East,England,South East,12,51.213531556,1.402989773,https://rnli.org/find-my-nearest/lifeboat-stations/walmer-lifeboat-station
1.025766881000038,51.362590523000051,71,71,4566,Whitstable,ILB,Kent,East,South East,England,South East,12,51.362590523,1.025766881,https://rnli.org/find-my-nearest/lifeboat-stations/whitstable-lifeboat-station
1.3106,51.1183,72,72,5113,Dover,ALB,Kent,East,South East,England,South East,13,51.1183,1.3106,https://rnli.org/find-my-nearest/lifeboat-stations/dover-lifeboat-station
0.976546851000023,50.926506371000073,73,73,5146,Dungeness,ALB,Kent,East,South East,England,South East,13,50.926506371,0.976546851,https://rnli.org/find-my-nearest/lifeboat-stations/dungeness-lifeboat-station
0.591785851000054,50.854919346000031,74,74,5189,Hastings,ALB/ILB,East Sussex,East,South East,England,South East,13,50.854919346,0.591785851,https://rnli.org/find-my-nearest/lifeboat-stations/hastings-lifeboat-station
0.96563554100004,50.97459350500003,75,75,5135,Littlestone-On-Sea,ILB,Kent,East,South East,England,South East,13,50.974593505,0.965635541,https://rnli.org/find-my-nearest/lifeboat-stations/littlestone-on-sea-lifeboat-station
0.76410551400005,50.938482370000031,76,76,5167,Rye Harbour,ILB,East Sussex,East,South East,England,South East,13,50.93848237,0.764105514,https://rnli.org/find-my-nearest/lifeboat-stations/rye-harbour-lifeboat-station
-0.1043,50.8109,77,77,5255,Brighton,ILB,East Sussex,East,South East,England,South East,14,50.8109,-0.1043,https://rnli.org/find-my-nearest/lifeboat-stations/brighton-lifeboat-station
0.327696110000034,50.791179021000062,78,78,5211,Eastbourne,ALB/ILB,East Sussex,East,South East,England,South East,14,50.791179021,0.32769611,https://rnli.org/find-my-nearest/lifeboat-stations/eastbourne-lifeboat-station
-0.544482761999973,50.808029671000043,79,79,5299,Littlehampton,ILB,West Sussex,East,South East,England,South East,14,50.808029671,-0.544482762,https://rnli.org/find-my-nearest/lifeboat-stations/littlehampton-lifeboat-station
0.053719841000031,50.78851703600003,80,80,5233,Newhaven,ALB,East Sussex,East,South East,England,South East,14,50.788517036,0.053719841,https://rnli.org/find-my-nearest/lifeboat-stations/newhaven-lifeboat-station
-0.778701947999934,50.727136435000034,81,81,5315,Selsey,ALB/ILB,West Sussex,East,South East,England,South East,14,50.727136435,-0.778701948,https://rnli.org/find-my-nearest/lifeboat-stations/selsey-lifeboat-station
-0.249,50.8304,82,82,5277,Shoreham Harbour,ALB/ILB,West Sussex,East,South East,England,South East,14,50.8304,-0.249,https://rnli.org/find-my-nearest/lifeboat-stations/shoreham-harbour-lifeboat-station
-1.07048001499993,50.690201827000067,83,83,5471,Bembridge,ALB/ILB,Isle Of Wight,South,Channel,England,South East,15,50.690201827,-1.070480015,https://rnli.org/find-my-nearest/lifeboat-stations/bembridge-lifeboat-station
-1.308301756999924,50.82019518900006,84,84,5343,Calshot,ILB,Hampshire,South,Channel,England,South East,15,50.820195189,-1.308301757,https://rnli.org/find-my-nearest/lifeboat-stations/calshot-lifeboat-station
-1.298098567999943,50.764800583000067,85,85,5485,Cowes,ILB,Isle Of Wight,South,Channel,England,South East,15,50.764800583,-1.298098568,https://rnli.org/find-my-nearest/lifeboat-stations/cowes-lifeboat-station
-0.936680627999976,50.781624216000068,86,86,5320,Hayling Island,ILB,Hampshire,South,Channel,England,South East,15,50.781624216,-0.936680628,https://rnli.org/find-my-nearest/lifeboat-stations/hayling-island-lifeboat-station
-1.5291,50.7539,87,87,5359,Lymington,ILB,Hampshire,South,Central,England,South East,15,50.7539,-1.5291,https://rnli.org/find-my-nearest/lifeboat-stations/lymington-lifeboat-station
-1.029810711999971,50.795226199000069,88,88,5337,Portsmouth,ILB,Hampshire,South,Channel,England,South East,15,50.795226199,-1.029810712,https://rnli.org/find-my-nearest/lifeboat-stations/portsmouth-lifeboat-station
-1.50044,50.706162,89,89,5492,Yarmouth,ALB,Isle Of Wight,South,Channel,England,South East,15,50.706162,-1.50044,https://rnli.org/find-my-nearest/lifeboat-stations/yarmouth-lifeboat-station
-1.74206494799995,50.724319213000058,90,90,6506,Mudeford,ILB,Dorset,South,Channel,England,South East,16,50.724319213,-1.742064948,https://rnli.org/find-my-nearest/lifeboat-stations/mudeford-lifeboat-station
-1.991971958999954,50.712713819000044,91,91,6515,Poole,ILB,Dorset,South,Channel,England,South East,16,50.712713819,-1.991971959,https://rnli.org/find-my-nearest/lifeboat-stations/poole-lifeboat-station
-1.946708257999944,50.607232981000038,92,92,6522,Swanage,ALB/ILB,Dorset,South,Channel,England,South East,16,50.607232981,-1.946708258,https://rnli.org/find-my-nearest/lifeboat-stations/swanage-lifeboat-station
-2.200105573999963,49.723992022000061,93,93,6678,Alderney,ALB,Alderney,South,Channel,Channel Isles,South East,17,49.723992022,-2.200105574,https://rnli.org/find-my-nearest/lifeboat-stations/alderney-lifeboat-station
-2.030262493999942,49.217959925000059,94,94,6643,St Catherine,ILB,Jersey,South,Channel,Channel Isles,South East,17,49.217959925,-2.030262494,https://rnli.org/find-my-nearest/lifeboat-stations/st-catherine-lifeboat-station
-2.1128,49.1805,95,95,6661,St Helier,ALB/ILB,Jersey,South,Channel,Channel Isles,South East,17,49.1805,-2.1128,https://rnli.org/find-my-nearest/lifeboat-stations/st-helier-lifeboat-station
-2.533414533999974,49.45274248700008,96,96,6625,St Peter Port,ALB,Guernsey,South,Channel,Channel Isles,South East,17,49.452742487,-2.533414534,https://rnli.org/find-my-nearest/lifeboat-stations/st-peter-port-lifeboat-station
-3.399014831999978,50.610981629000037,97,97,6586,Exmouth,ALB/ILB,Devon,South,Channel,England,South West,18,50.610981629,-3.399014832,https://rnli.org/find-my-nearest/lifeboat-stations/exmouth-lifeboat-station
-2.939,50.7204,98,98,6565,Lyme Regis,ILB,Dorset,South,Central,England,South West,18,50.7204,-2.939,https://rnli.org/find-my-nearest/lifeboat-stations/lyme-regis-lifeboat-station
-3.497901689999935,50.54216705500005,99,99,6598,Teignmouth,ILB,Devon,South,Channel,England,South West,18,50.542167055,-3.49790169,https://rnli.org/find-my-nearest/lifeboat-stations/teignmouth-lifeboat-station
-3.505521488999932,50.399183793000077,100,100,6609,Torbay,ALB/ILB,Devon,South,Channel,England,South West,18,50.399183793,-3.505521489,https://rnli.org/find-my-nearest/lifeboat-stations/torbay-lifeboat-station
-2.45015811899998,50.607242584000062,101,101,6544,Weymouth,ALB/ILB,Dorset,South,Channel,England,South West,18,50.6072425842,-2.4501581192,https://rnli.org/find-my-nearest/lifeboat-stations/weymouth-lifeboat-station
-3.578011883999977,50.354730539000059,102,102,6613,Dart,ILB,Devon,South,Channel,England,South West,19,50.354730539,-3.578011884,https://rnli.org/find-my-nearest/lifeboat-stations/dart-lifeboat-station
-4.1504,50.3631,103,103,6716,Plymouth,ALB/ILB,Devon,South,South West,England,South West,19,50.3631,-4.1504,https://rnli.org/find-my-nearest/lifeboat-stations/plymouth-lifeboat-station
-3.76671208199997,50.238604377000058,104,104,6617,Salcombe,ALB/ILB,Devon,South,South West,England,South West,19,50.238604377,-3.766712082,https://rnli.org/find-my-nearest/lifeboat-stations/salcombe-lifeboat-station
-5.0592,50.1514,105,105,6750,Falmouth,ALB/ILB,Cornwall,South,South West,England,South West,20,50.1514,-5.0592,https://rnli.org/find-my-nearest/lifeboat-stations/falmouth-lifeboat-station
-4.632329422999931,50.338721722000059,106,106,6738,Fowey,ALB/ILB,Cornwall,South,South West,England,South West,20,50.338721722,-4.632329423,https://rnli.org/find-my-nearest/lifeboat-stations/fowey-lifeboat-station
-4.453241022999975,50.35201931000006,107,107,6725,Looe,ILB,Cornwall,South,South West,England,South West,20,50.35201931,-4.453241023,https://rnli.org/find-my-nearest/lifeboat-stations/looe-lifeboat-station
-5.187045013999978,49.969511829000055,108,108,6794,The Lizard,ALB,Cornwall,South,South West,England,South West,20,49.969511829,-5.187045014,https://rnli.org/find-my-nearest/lifeboat-stations/the-lizard-lifeboat-station
-5.548723220999932,50.103931427000077,109,109,6816,Penlee,ALB/ILB,Cornwall,South,South West,England,South West,21,50.103931427,-5.54872322083,https://rnli.org/find-my-nearest/lifeboat-stations/penlee-lifeboat-station
-5.703655896999976,50.077864008000063,110,110,7601,Sennen Cove,ALB/ILB,Cornwall,South,South West,England,South West,21,50.077864008,-5.703655897,https://rnli.org/find-my-nearest/lifeboat-stations/sennen-cove-lifeboat-station
-5.4796,50.2128,111,111,7613,St Ives,ALB/ILB,Cornwall,South,South West,England,South West,21,50.2128,-5.4796,https://rnli.org/find-my-nearest/lifeboat-stations/st-ives-lifeboat-station
-5.087124555999935,50.416410726000038,112,112,7637,Newquay (Cornwall),ILB,Cornwall,South,South West,England,South West,22,50.416410726,-5.087124556,https://rnli.org/find-my-nearest/lifeboat-stations/newquay-lifeboat-station
-5.2017,50.3195,113,113,7625,St Agnes,ILB,Cornwall,South,South West,England,South West,22,50.3195,-5.2017,https://rnli.org/find-my-nearest/lifeboat-stations/st-agnes-lifeboat-station
-6.311713370999939,49.916863443000068,114,114,6835,St Mary's,ALB,Isles Of Scilly,South,South West,England,South West,22,49.916863443,-6.311713371,https://rnli.org/find-my-nearest/lifeboat-stations/st-marys-lifeboat-station
-4.550007875999938,50.830894826000076,115,115,7793,Bude,ILB,Cornwall,South,South West,England,South West,23,50.830894826,-4.550007876,https://rnli.org/find-my-nearest/lifeboat-stations/bude-lifeboat-station
-5.021720112999958,50.549034447000054,116,116,7659,Padstow,ALB,Cornwall,South,South West,England,South West,23,50.549034447,-5.021720113,https://rnli.org/find-my-nearest/lifeboat-stations/padstow-lifeboat-station
-4.831992476999972,50.592012253000064,117,117,7771,Port Isaac,ILB,Cornwall,South,South West,England,South West,23,50.592012253,-4.831992477,https://rnli.org/find-my-nearest/lifeboat-stations/port-isaac-lifeboat-station
-4.924478921999935,50.544642779000071,118,118,7700,Rock,ILB,Cornwall,South,South West,England,South West,23,50.544642779,-4.924478922,https://rnli.org/find-my-nearest/lifeboat-stations/rock-lifeboat-station
-4.19986903299997,51.056909316000031,119,119,7836,Appledore,ALB/ILB,Devon,South,South West,England,South West,24,51.056909316,-4.199869033,https://rnli.org/find-my-nearest/lifeboat-stations/appledore-lifeboat-station
-2.9973,51.2337,120,120,7918,Burnham-On-Sea,ILB,Somerset,West,Wales South & Severn,England,South West,24,51.2337,-2.9973,https://rnli.org/find-my-nearest/lifeboat-stations/burnham-on-sea-lifeboat-station
